alpha,beta,aromatic,idx
1.5711121438172915,-0.05526216464536203,True,0
2.8813516992731403,-0.3198981864230069,False,1
2.9066646140141508,0.6363987833841561,False,1
1.6757595433113546,0.014321792941966923,True,2
1.7097505070733892,-0.029330237613634017,True,3
1.4310693033944846,0.029396143168027803,True,3
1.5708995641117818,-0.0029300818710477285,True,4
0.16345135601800406,0.07255176812287686,False,5
1.5711270526121408,0.030993455474543824,True,6
2.6578931137776394,-0.32515715390673505,False,7
0.39848834935771554,0.3299915758299599,False,7
1.9384917186742474,0.0965628902095876,False,7
0.948482297721103,-0.120686805727847,False,7
1.4898159581255552,0.08011061857672584,True,8
1.5703520043490422,0.030800567837234612,True,9
1.5707775151941175,0.029706036449436153,True,10
1.5989717577203646,0.04866676190656279,False,11
1.57089715742681,-0.03587865565632832,True,12
1.630881973058188,0.0043530813504550365,True,13
1.5692760108822024,0.023382378113294265,True,17
1.5709330761424842,-0.061516016022241805,True,18
1.5701333551244865,-0.05411934715287036,True,19
1.548923380480634,-0.026394740526615865,True,20
1.5271801616183023,0.005632423638694056,True,20
1.6048202074800093,0.028072509952719846,True,20
1.6039404491331786,0.006415035722594383,True,20
1.572524742060219,-0.04143449919442911,True,21
1.6547372689360056,0.01358379963236578,True,22
1.9687570313281453,-0.07089442228881393,False,23
1.412050003294639,-0.08011201479889085,False,23
1.5709445558991324,-0.01368679018403842,True,24
0.9205204826406888,0.06850712885735864,False,25
2.814340132723273,-1.0911647873763581,False,25
2.0847804640041154,0.17312366019969255,False,25
1.573411714725507,-0.030020179146524918,True,26
1.5667181653368434,-0.03067030955257167,True,27
1.5660244623657738,0.030831608976409637,True,27
1.6177751879072937,0.06376152101676787,True,27
1.5228627989596437,0.06354862027237164,True,27
1.580682885665464,0.06282505361564344,True,28
1.5502950386028445,-0.010674986979449491,True,29
1.6097322858662584,0.026046798806215826,True,30
1.5706093500625047,0.039720893467724686,True,31
1.5920135645949713,0.060406803494548376,True,32
1.5698816085078318,-0.002006689632100337,True,33
1.5595496109038425,0.0883822504901836,True,34
1.6320207677305953,-0.14418443819065338,True,35
1.5433122800229837,0.0974049610112101,True,35
1.6209890146057253,0.0031220590907328396,True,35
1.5573946072429572,-0.025414873378109208,True,35
0.14824370651232568,0.8299556476059452,False,36
1.5701517064036385,0.028702092680932708,True,38
1.6564474829471774,-0.037804694329482386,True,39
1.7018436831059163,-0.04988260018790343,True,39
0.20620603311664257,0.23317514012066887,False,40
2.3508239591692446,-0.021711590842867754,False,41
1.5728842342501734,0.10918007874030297,True,42
1.5688398364540816,0.10911148624446239,True,42
1.5766005067421178,0.0010345249961908937,False,43
1.5707963267948966,-0.029804735492904192,True,44
1.5707290319911147,-0.029101537927836398,True,44
2.2357497232329884,-0.03550056383509102,False,45
2.8004438039808184,0.00865804730342319,False,46
1.5710131045979425,0.00940202481888972,True,47
1.6611159434410396,-0.07631362305887547,False,48
1.5711872823749782,0.029917028027275853,True,49
1.2991783792636842,-0.0359036538980769,False,50
0.7962364467360726,0.1485570790106842,False,51
1.573465529483829,-0.028652990865398412,True,52
1.2996066988555819,-0.036188924782141266,False,55
1.578183756462182,-0.03186554747261942,True,56
1.5272002868983268,-0.025285820171787866,True,56
1.0966328410383182,0.03713586520801105,False,57
1.925943222739632,-0.10763253876029144,False,58
1.433826854726042,-0.1280614383973905,False,58
2.9446625775593875,-0.061041479446966175,False,59
2.944645633217651,-0.061016254116788016,False,59
2.944591562701491,-0.06157169348233315,False,59
0.8589517725875438,0.13507830158378067,False,60
1.5673074057886063,0.029850893608570832,True,61
1.3770528887116182,-0.019227298841071123,True,62
1.5748205690485158,-0.032957801551433484,True,63
1.5640176195735016,-0.03154770116349818,True,64
1.5787630218502362,-0.029112260055732624,True,64
1.5640219603778873,-0.03155722294993476,True,64
1.5631855030885742,0.029102466404560545,True,64
0.7844418803071852,0.22205761321025194,False,65
1.5707912019809112,0.030627930219963663,True,66
1.5705877679968177,0.028715045370114947,True,67
1.6020417093586696,0.003000074330616977,True,68
1.5620766717312575,0.12179439410937166,True,68
0.6656000703561838,0.45900250612495974,False,69
1.512627956604073,-0.03188389857729266,True,70
1.6128265408419107,-0.025466001417365172,True,70
1.6664476312936185,0.04158906243396165,True,71
1.583289933537396,0.046873949753713395,True,71
1.5692404696763624,0.030049400894955645,True,72
1.4303564017965074,0.11334159502982581,True,73
1.596621269833303,-0.02750077418279439,True,73
1.5705739967698389,0.011692980186584517,True,74
1.577860186736998,0.06506444198837713,True,75
1.5717214584193415,0.027423523144734143,True,76
1.5227225542610299,0.04468738268757897,True,77
1.5402252396038503,-0.018783290794030304,True,78
1.5707305482680627,0.043012177549414554,True,79
1.5707963267948966,0.02960237278409591,True,79
1.5711465010710455,0.10864711470880432,True,80
1.6519978237347357,-0.06387096028178557,True,81
1.5709439916969383,0.011301838762143164,True,82
1.933069479726428,-0.03984324070092059,False,83
