idx,q2,q3,q4,q5,q6,q7,phi2,phi3,phi4,phi5,phi6,phi7,CT0,CT1,CT2,CT3,CT4,COAlpha0,COBeta0,COAlpha1,COBeta1,COAlpha2,COBeta2,COAlpha3,COBeta3,COAlpha4,COBeta4,CbetaAlpha0,CbetaBeta0,CbetaAlpha1,CbetaBeta1,CbetaAlpha2,CbetaBeta2,CbetaAlpha3,CbetaBeta3,CbetaAlpha4,CbetaBeta4,EndoT0,EndoT1,EndoT2,EndoT3,EndoT4,EndoT5,EndoT6,EndoT7,EndoT8,EndoT9,EndoT10,EndoT11,EndoT12,EndoT13,EndoT14,Cbeta0ExoT,Cbeta1ExoT,Cbeta2ExoT,Cbeta3ExoT,Cbeta4ExoT,CO0ExoT,CO1ExoT,CO2ExoT,CO3ExoT,CO4ExoT,Eccentricity
0,0.8066428846670562,0.4182041664551893,0.055101259991159224,1.519023182571079,0.04810411862225101,0.07515319470353513,0.3307502081883408,0.8396750460395772,-1.838583939659155,-2.2247934596596717,-1.5266485630387192,1.83105390586736,0.16531405505161698,-0.06836777027985379,0.025791684897391587,0.07977908128668204,-0.030650265813934558,2.0581924969997965,0.3292842416507111,2.4962927536517867,0.4118197813232547,2.120090149124533,0.5472250336773207,2.212970706712076,0.14854605646748115,2.4873106417647737,0.7793249452037044,0.8263795247759425,0.3544830318498602,1.1815014167218325,-0.15945261078176792,0.37468217188823355,-0.38160861980769945,1.1425712865135567,0.1901572778826989,0.8986432684604768,-0.4020419346847153,2.1349849725176773,-2.7783621626741786,0.08438661685402925,2.275449913711483,-1.8261784254245244,-0.12727176880634378,2.7785578145935634,-2.3970030072250754,-0.27044226356228895,1.9348721552775743,-2.4348172293140657,0.06117609972512513,2.6892534228189886,-1.857339756502448,-0.19663364202669664,1.4548028568825018,2.4678732734227085,1.866657841413784,1.801000983526996,2.3780942853872302,-1.0183540205636354,-0.8998703135551906,-0.41920613860699374,-1.2310871188606753,-0.4656947097427294,0.14257442935293532
1,2.521110515775535,1.2889827274992496,0.5648727350340227,0.6950546129912841,0.2601647759269231,0.13838079705598297,1.874502082439366,-0.5898737223626306,-2.8687564275699633,-2.2539286576187227,-2.017779663746256,2.189415915177205,0.06216182425997511,-0.05684279310549712,0.055889925183580734,0.018208654841021875,0.19024773549261342,2.1512597766953716,0.007109516803470668,2.5076270076265796,1.3031677782318658,0.6517229992833566,1.6082611398175153,2.33655467233186,2.0576166998468772,1.7226980276198505,0.4877053784338926,1.6353530844646096,0.33200393666617833,1.6527454272949058,0.5686357574001428,,,,,0.19328061443276975,0.1340588775955138,1.5096994462842133,-2.8610680250374214,0.3035867322366265,1.2050031208109553,1.057976097802802,-0.24402450826004954,-1.190018568350263,-0.9075866002339227,-0.2970660071279982,2.888126333959426,-0.9823103430725789,-0.3631326823307571,2.5226442898389423,-2.390645396002873,-0.18123406874749665,1.3430824862278201,-1.1352013153555711,,,1.8872665307503063,-1.6624880391348755,-1.8678965012868218,1.8970784915987373,-0.2832648822871623,-0.7087402439540389,0.38137611015414374
2,2.540312556492214,1.125598014309067,0.3841034204411548,1.0482352068358978,0.3426188221253077,0.23248894750477872,1.4888431437899323,-2.205115701114377,-1.764986236626601,-1.9251704174291724,-3.0837397672190185,1.7892859869394213,-0.06123254308577013,0.025322925249901283,-3.085660999962504,-0.14345934721635328,3.100078474260806,2.602648925163977,0.11376127935801227,2.5965060503245385,0.6944021936066616,0.7335928278874551,-2.6977045591613735,2.645926529307766,-0.37234810022918274,0.9050291310005408,-0.7968704610408289,1.0354441099125269,-0.06871296139104205,1.5675736659879747,0.455102565032888,1.0179135436944025,-0.5431038334379712,,,0.897356215443379,-0.055104845346740323,2.478454742785025,-2.2612558438813077,-0.19322019223533085,1.5344801185525585,-2.035440774500542,-2.990484915402366,-0.5455087054840003,-1.7905571030491665,0.1949997048046919,0.8229134966971594,-2.194855473231113,-3.1197308195028577,0.5001024005945718,-1.880347954174486,-0.09259476035585384,1.9854280207991104,2.137283466554078,2.423500669294869,,2.229080084356358,-0.6722915654748587,-1.5980608715920464,2.620503077235444,-2.328392933044354,-2.6992697688572833,0.5502637453078816
3,2.453615273914343,1.3750424108555255,0.5232174315378646,0.6734179000217674,0.24627887026570658,0.1576184285036895,-1.9640682031542103,3.102689728774718,2.2263293897037406,-2.291296248019879,-0.7406874038518663,-1.2951407418818015,-0.07642316044076716,0.28726253317810535,-0.004953268859112952,0.10199126393087074,0.04704872107275986,2.5551997155208848,1.3433471959654202,0.6614366584859552,1.9693312330520694,2.411067859820692,1.9329301200314668,1.6686726743447715,0.5605449996380178,2.1143344658161265,0.029383618589774663,1.6672873513316415,0.6544967864633843,,,1.7587535420549516,-0.422426126876036,0.0425242254997769,0.2299227188425686,1.4929028314582302,0.3140825907550113,1.1000745649361652,0.9224334851289767,0.014104974428387599,-1.3883325917835423,-1.1049045541998384,-0.22309199558069243,2.6788283550320307,-0.9284779499943047,-0.332962319566307,2.594728876645166,-2.500176926552025,-0.20910616432782514,1.577434340398574,-2.876875408291015,0.1529668749735273,-1.309515596662635,,-3.053529367607457,1.7466116840866923,1.315794053117889,-2.0079127177217115,1.748061407958581,-0.46854536622530646,-0.6327179967005688,-1.5907353636339534,0.511040362305164
4,2.28465938373011,1.4870271081782658,0.5288396677844504,0.6944223400319877,0.24950743524547056,0.1145461454943892,-0.9422659347609506,1.8059555575893673,-1.7494853247127768,-2.224228257732879,-2.7489475974245665,-0.32840006815494677,0.22067262428713774,0.06972262505132705,-0.05288343814790546,0.03834728605711487,0.05094114453933617,1.811201516105479,0.5379282213295011,1.8635493243810635,0.06867591590009069,2.6839079242929906,1.558857535774713,0.5416062883893465,2.065836594245603,2.523194596535053,2.0738753549083504,0.17056465779288352,-0.5850844259969652,1.4857362281929096,0.44401772425349306,,,1.8545621068458495,-0.6614718827985754,1.658327952129229,-0.4233356165573307,2.7050047016783427,-2.5953857357786014,0.1261729159497287,1.3040751027403372,-2.9417456685517154,0.19290133068145482,0.9824416769713818,1.1418421195878286,0.07900267685395441,-1.1603722417412459,-1.20766137219808,-0.18122763824023305,2.751031521391604,-1.0617904937151337,-0.3421240425090824,1.6749723732223598,1.2299183289471962,,2.843899224811469,3.1123469621326736,-0.5401661416324581,-1.7980298545613072,-2.1402117023386524,1.9732177673753342,-0.40874410513506554,0.3154802416498332
5,1.3150216271778268,0.9529880085043894,0.3343187991904414,1.1866566052182557,0.26012805676134976,0.3026979402816708,-0.02848938033949982,0.07519361588969611,-0.2544538874822134,-2.0399786583933155,-0.2680603327622598,0.29589508240800577,3.0371326317772787,0.03134662285334287,0.10236135659026986,0.02488428058803456,-0.03542808016171631,0.569736234383584,-2.557594394018883,2.8146289167070355,0.7749472717692862,1.9191417326362086,0.6898521570673831,2.0786416400504746,0.13777905830518597,2.6120783390433693,0.3017817907260578,1.497977189901439,-0.3885705319543903,1.5250958244831883,-0.23611773126229538,0.10285302660876006,-0.7488577179451507,0.724591905396939,-0.013388088306108357,1.7212338452236844,0.41618766889595193,-0.8908034346768116,-1.8490246009721307,0.057748872079251896,2.312542361021732,-1.4079348014202397,-0.08572390991446383,2.7930768279078544,-2.6365323704964334,-0.22378474503899892,2.261153547604763,-2.4397815990149874,-0.21114843344803372,1.4735347807230907,-2.075046526826777,-2.9982184458794934,2.2643407137086298,2.872054507990162,1.562896850111723,1.8212785825512612,2.110874519570697,2.205925559101147,-0.8648998929890063,-0.3755194688620673,-0.9080632868403717,-1.6988827342762018,0.6524281467963564
6,1.0861478425424556,0.6044158786892085,0.1486129179012948,1.3324889444470904,0.11313049933324533,0.03637558960994528,0.11127920928761831,0.9958592891647873,-1.978868076137131,-2.231900653890598,3.0109302621891842,1.1388446806842967,0.20483119868085647,-0.06179535756979989,0.17973931583184408,0.13388532550241689,-0.10891384129978944,1.9485121336375766,0.37518314092241667,2.5732447973520727,0.47081120452328157,2.0870658920404384,0.5535641254691068,1.8203191940802634,0.02833144356274682,2.572291254184466,1.779932964862687,0.6690109948276808,0.4820724348341255,,,0.21050172445739804,-1.030988935080909,1.615968051429462,0.4180580180514855,1.4317687298857784,-0.4918234004481385,2.23898150531914,-2.7647581510225434,-0.09505413351383092,2.370979433775212,-1.8086075612452222,-0.11539902419136522,2.9484157557914035,-2.5476142217363233,0.07424899235712071,1.1207266235225284,-2.6775943753671805,0.09717433087057036,2.8447039900786253,-1.1261279893109024,-0.3602485159218916,1.4708862347364016,,1.6421355719575024,1.538577941736221,3.07467560918788,-0.9715669083612027,-0.794408870223565,-0.2359288302772405,-2.002285015784935,-0.2666851439386013,0.5012803877255793
7,0.714012052299933,0.6898303914565631,0.6393038089794091,0.9342652754706557,0.6483373581526298,0.5330586021311231,-0.29828964489165694,-2.086479247380207,2.2510675377084968,-1.98496665270656,-0.9889055577510869,-2.3430879701386,-0.01740111927583828,-3.081119969174363,-0.028213251271426647,-0.06757091615678819,0.007730938923594912,2.1242338228735966,0.29906527219025336,0.6028597459958782,2.8557117977633135,1.673018186938548,0.15217945853404702,2.337757167462352,0.564129378954712,2.37021028066023,0.30279909744106764,1.1968861202423926,0.5019653287893411,2.513966380264732,2.665854788315695,0.6476946632988188,0.24674583913638937,0.4477590880283654,-0.021284248855625524,0.7797053597270447,-0.3002165852942256,1.4760908661926073,-2.0839733640104448,3.103737954253739,2.6882732967802316,1.272076650499949,-0.624391315220514,1.80546765161068,-2.2829831026655167,-0.057958583462724735,2.732498156629178,-2.4031586892290795,-0.31906292200930236,2.5191690052955495,-2.4762763880297034,0.16009250343949036,2.0586313811228507,-0.9652389339957093,1.885518060166549,1.7536433791301573,1.7500369824278434,-1.6053375417221745,-0.4578170152089579,-1.4418047560589125,-0.40810506330583846,-0.6788135651786337,0.7154524608280023
8,0.9024773908079099,0.8223954906688713,0.9409742861169088,1.0007323610511019,0.5111167436303871,0.3042563638471023,2.6328908728272413,1.6093339486641638,0.9248109441147039,-1.7780252003142687,-0.15985499325172342,-0.388791925455522,3.0311206709746625,-3.0608949280680786,-0.030803837543694007,-0.01420691437694026,0.07690101196845234,0.8015206907714114,2.984683677082651,0.8415573589321199,-1.0081619278264584,2.4049227652683953,0.659812647235505,2.3000769636799734,0.35595218979628457,2.241667667995553,0.2130432065158071,2.8914966515837572,-1.604341235542677,1.3082564248592117,-0.1804155981453126,0.5793763408105211,0.2389331137885286,,,1.3908905515071157,0.3604782662253761,-2.8489829062000585,-1.1181230928699537,2.6506663488146565,0.0037862292542901023,-1.546694921693142,0.12815510260425655,2.6562918737553556,-2.6511216889032183,-0.024164552374441373,2.571030414861028,-2.192537428699261,-0.27594630497730627,1.6401300172026985,-1.7807633331960806,3.114406507315872,3.0002440490632463,2.5730643178066,1.528428245177018,,2.443025217398475,0.26975253260227405,-3.0781244047892256,-0.449368219622107,-0.5604058901790292,-1.538971517493041,0.7270873656249256
9,2.5333365437408353,0.6271545277911454,0.5844677087466758,1.0693351777099116,0.08311507766686338,0.2546584012053359,-1.7490438513000985,2.0996293725002326,-3.0076120149474366,-2.0691826638910915,-2.5499178315378703,-1.0734497044343658,0.05188930342356505,0.18576496485206276,-0.026808874586915454,-2.884478389790011,-0.09419744225635282,2.372558422605019,0.9748841862381624,1.5103274128133264,0.031628468322623456,2.5491072770268928,2.518184491126103,0.7764516595709957,-2.7586255743001504,2.6922131821088815,0.43587355489668844,,,1.6733746711282314,0.5158225932362519,2.0480319161298723,0.06283522025151388,1.3467078863135604,-0.6257503979164334,1.2940098424392048,0.31978211256428246,3.109567749989068,-1.4544306940073906,-0.11735838116745895,1.071231425831977,-2.602768560997158,-0.044192662809302875,2.196684955322285,-1.5679823181882384,2.969200055946282,-0.8901231902808864,-1.1254225614535216,-0.04945936219807261,2.2791931777860435,-2.4274032643147088,-0.0473765802371109,,1.5231525566831898,2.6469092511088625,3.0413697780046616,1.8232694938506835,-0.04259648419148887,-2.1328100814033957,-0.9135579666823558,2.266038279434669,-0.8779272377944548,0.7590701982692627
